"ID","X","Y","Z"
268,3092.062,6018.996,4560.5
269,3058.082,6290.135,4590.5
269,3054.817,6293.399,4590.5
269,3075.582,6315.811,4590.5
269,3088.965,6322.354,4590.5
269,3082.044,6313.082,4590.5
269,3078.977,6310.524,4590.5
269,3076.321,6308.374,4590.5
269,3067.595,6302.051,4590.5
270,4732.846,5507.446,4260.5
270,4728.883,5468.218,4260.5
270,4735.48,5461.922,4260.5
270,4746.403,5438.904,4260.5
270,4750.962,5451.798,4260.5
270,4778.04,5444.898,4260.5
270,4790.075,5493.169,4260.5
271,4027.871,6188.094,4275.5
271,4021.987,6179.205,4275.5
271,4017.14,6166.455,4275.5
271,4049.366,6160.259,4275.5
271,4085.067,6163.78,4275.5
271,4132.121,6155.593,4275.5
271,4133.376,6160.158,4275.5
271,4116.333,6168.18,4275.5
271,4107.019,6180.322,4275.5
271,4108.349,6196.123,4275.5
271,4113.007,6204.44,4275.5
271,4147.138,6210.235,4275.5
271,4148.321,6214.539,4275.5
272,4422.002,4735.237,4245.5
272,4431.01,4726.104,4245.5
272,4428.984,4702.067,4245.5
272,4436.535,4693.622,4245.5
272,4423.188,4688.492,4245.5
272,4410.066,4717.459,4245.5
272,4415.877,4731.873,4245.5
273,3136.529,4950.618,4035.5
273,3136.307,4930.907,4035.5
273,3150.723,4953.68,4035.5
274,3582.423,5591.486,3960.5
274,3594.101,5604.678,3960.5
274,3605.407,5593.887,3960.5
274,3593.762,5582.281,3960.5
275,3164.908,4622.825,4155.5
275,3167.452,4624.693,4155.5
275,3187.931,4617.549,4155.5
275,3187.1,4616.496,4155.5
276,3321.705,4537.526,4155.5
276,3317.077,4527.896,4155.5
276,3341.625,4500.464,4155.5
276,3352.24,4510.914,4155.5
276,3346.115,4520.391,4155.5
276,3342.333,4520.812,4155.5
276,3339.505,4521.809,4155.5
277,3159.822,4968.055,4035.5
277,3158.775,4985.693,4035.5
277,3171.998,4987.289,4035.5
278,3748.065,5713.072,3945.5
278,3732.185,5697.173,3945.5
278,3733.989,5683.885,3945.5
278,3724.903,5673.751,3945.5
278,3694.113,5678.035,3945.5
278,3738.763,5727.375,3945.5
278,3742.425,5718.26,3945.5
279,3597.165,5432.823,3960.5
279,3601.831,5434.737,3960.5
279,3595.643,5458.638,3960.5
279,3593.174,5478.201,3960.5
279,3593.076,5484.388,3960.5
279,3586.409,5476.924,3960.5
280,4143.43,4649.7,4260.5
280,4145.842,4647.347,4260.5
280,4159.252,4660.39,4260.5
280,4167.269,4668.872,4260.5
280,4171.617,4674.517,4260.5
280,4170.062,4676.052,4260.5
281,3790.432,5494.083,3945.5
281,3770.435,5514.168,3945.5
281,3779.747,5521.24,3945.5
281,3802.156,5516.577,3945.499
281,3817.143,5528.511,3945.5
281,3818.998,5525.808,3945.5
282,3493.423,5129.34,4005.5
282,3489.969,5136.944,4005.5
282,3489.078,5138.906,4005.5
282,3496.738,5132.507,4005.5
283,5049.365,5381.834,4410.5
283,5056.949,5409.209,4410.5
283,5081.513,5497.87,4410.5
283,5098.007,5559.781,4410.5
283,5090.946,5561.515,4410.5
283,5070.891,5469.528,4410.5
283,5060.942,5437.806,4410.5
283,5056.963,5424.582,4410.5
283,5044.84,5383.873,4410.5
284,3744.9,5696.054,3945.5
284,3751.187,5694.761,3945.5
284,3756.453,5693.678,3945.5
284,3750.294,5690.603,3945.5
284,3747.247,5676.411,3945.5
284,3733.989,5683.885,3945.5
285,3159.822,4968.055,4035.5
285,3172.711,4961.547,4035.5
285,3164.854,4945.775,4035.5
285,3152.266,4933.381,4035.5
285,3136.307,4930.907,4035.5
286,3574.463,5341.669,3975.5
286,3567.166,5370.264,3975.5
286,3566.774,5377.126,3975.5
286,3570.647,5372.625,3975.5
286,3577.202,5344.555,3975.5
287,3241.376,6089.971,4575.5
287,3242.468,6083.451,4575.5
287,3229.744,6068.253,4575.5
287,3226.614,6064.516,4575.5
287,3223.543,6068.847,4575.5
288,4187.212,4687.42,4260.5
288,4184.466,4690.305,4260.5
288,4170.062,4676.052,4260.5
288,4171.617,4674.517,4260.5
289,3197.332,6036.021,4575.5
289,3204.077,6042.893,4575.5
289,3206.697,6039.87,4575.5
289,3184.753,6012.063,4575.5
289,3163.498,5984.47,4575.5
289,3159.586,5987.78,4575.5
289,3168.05,5996.92,4575.5
289,3178.205,6015.54,4575.5
289,3185.653,6025.865,4575.5
290,3259.273,6371.761,4590.5
290,3260.588,6367.649,4590.5
290,3254.384,6367.772,4590.5
290,3240.663,6367.905,4590.5
290,3229.534,6367.652,4590.5
290,3217.712,6365.896,4590.5
290,3218.15,6371.859,4590.5
291,3993.656,5471.171,3885.5
291,3996.104,5469.643,3885.5
291,3990.838,5462.283,3885.5
291,3980.097,5443.878,3885.5
291,3974.086,5436.301,3885.5
291,3967.18,5427.008,3885.5
291,3966.215,5422.665,3885.5
291,3970.423,5407.149,3885.5
291,3958.345,5417.73,3885.5
292,3175.269,6250.816,4560.5
292,3189.713,6236.433,4560.5
292,3175.687,6222.526,4560.5
292,3161.337,6236.44,4560.5
293,3896.37,5611.835,3945.5
293,3877.278,5617.25,3945.5
293,3870.825,5631.586,3945.5
293,3855.737,5622.788,3945.5
293,3840.802,5627.42,3945.5
293,3833.721,5622.373,3945.5
293,3842.964,5616.929,3945.5
293,3854.109,5607.811,3945.5
293,3856.433,5599.349,3945.5
293,3864.364,5576.311,3945.5
294,3902.685,5238.969,3930.5
294,3915.361,5230.002,3930.5
294,3949.109,5210.354,3930.5
294,3944.925,5201.515,3930.5
294,3952.258,5196.674,3930.5
294,3942.762,5179.209,3930.5
294,3928.153,5193.292,3930.5
294,3915.417,5180.958,3930.5
294,3901.619,5195.067,3930.5
294,3915.494,5209.011,3930.5
294,3905.641,5220.438,3930.5
294,3896.21,5212.29,3930.5
294,3878.977,5186.471,3930.5
294,3875.277,5188.386,3930.5
294,3873.374,5189.371,3930.5
294,3851.914,5200.476,3930.5
294,3837.172,5208.105,3930.5
294,3852.299,5234.54,3930.5
294,3861.081,5225.211,3930.5
294,3890.072,5245.898,3930.5
295,4558.672,5182.055,4260.5
295,4574.021,5182.985,4260.5
295,4573.117,5191.006,4260.5
295,4491.87,5184.87,4260.5
295,4494.446,5170.26,4260.5
295,4545.734,5168.479,4260.5
296,3087.777,6365.375,4590.5
296,3079.521,6361.246,4590.5
296,3071.884,6355.054,4590.5
296,3059.863,6348.024,4590.5
296,3054.087,6344.806,4590.5
296,3053.061,6346.001,4590.5
296,3051.115,6350.115,4590.5
296,3103.97,6385.327,4590.5
296,3103.979,6379.892,4590.5
297,3397.067,4513.619,4155.5
297,3383.971,4500.487,4155.5
297,3378.695,4477.022,4155.5
297,3394.516,4475.288,4155.5
297,3394.416,4482.813,4155.5
