ID,X,Y,Z,name,material
136,4461.683,5059.693,4260.500,29/07,C
137,4069.950,5575.507,3885.500,11/02,M2
138,4116.911,5428.209,3885.500,12/01,M1
139,3303.120,4963.141,4020.500,04/03,M2A
140,4986.027,5442.600,4365.500,01/02,C
141,3143.173,4908.843,4035.500,12/04,M6
142,3779.477,5694.273,3945.500,08/02,M4B
143,3981.073,5615.625,3960.500,23/06,M1
144,4168.741,4865.296,4065.500,01/08,C
145,3180.732,6267.319,4560.500,17/10,A
146,4799.358,5479.531,4260.500,34/05,A
147,3224.426,6345.800,4575.500,29/01,C
148,3788.686,5653.618,3945.500,01/07,M1
149,3179.813,4833.819,4035.500,15/03,A
150,2975.640,6203.411,4590.500,26/02,A
151,3226.922,4631.607,4155.500,28/05,A
152,4043.294,5543.079,3885.500,11/04,M1
153,3180.402,5022.755,4050.500,04/01,A
154,3768.641,5716.971,3945.500,08/03,M1
155,4826.580,5575.615,4260.500,34/02,A
156,4783.314,6096.880,4365.500,08/01,B
157,4548.592,6111.310,4275.500,02/06,B
158,3140.897,6230.583,4560.500,14/03,C
159,3785.104,5759.383,3945.500,09/03,M1
160,4553.272,5574.254,3965.051,35/03,M4B
161,3165.510,4881.183,4035.500,12/02,M2A
162,3891.276,5469.364,3960.500,11/04,M1
163,4706.817,5810.384,4260.500,33/02,C
164,4630.433,5861.055,4260.500,18/07,A
165,3157.304,6084.510,4560.500,04/04,C
166,4590.852,5318.402,4260.500,20/05,M4B
167,3462.389,5160.142,4005.500,05/03,M4B
168,3276.179,4563.299,4155.500,25/04,A
169,2950.159,6242.413,4605.500,13/05,B
170,4479.618,5830.851,4260.500,36/04,M4B
171,3303.869,5250.177,4065.500,06/01,B
172,3461.860,5099.219,4005.500,03/04,M1
173,4468.398,5813.333,4260.500,36/03,M4B
174,3495.147,5236.423,3990.500,10/02,M1
175,3517.145,5418.548,3975.500,03/04,M1
176,2656.391,5421.564,4560.500,06/01,C
177,4391.006,4777.434,4245.500,05/04,C
178,4468.007,5861.625,4260.500,22/09,MP
179,3576.213,5355.901,3975.500,03/04,M1
180,4434.409,4778.880,4245.500,05/03,A
181,4855.521,5438.061,4275.500,45/07,C
182,3003.212,6287.821,4590.500,05/06,A
183,5308.243,5691.124,4425.500,24/03,A
184,3244.186,6351.568,4575.500,29/02,A
185,4743.303,5085.474,4260.500,19/01,A
186,4487.910,5175.307,4260.500,30/07,A
187,3824.025,5625.060,3945.500,06/01,M4B
188,3579.791,5577.210,3960.500,06/04,M4B
189,3059.031,6299.406,4590.500,05/04,A
190,3973.207,5392.828,3885.500,14/06,A
191,3180.489,6317.069,4575.500,24/01,C
192,3958.278,5399.049,3885.500,14/07,A1
193,3153.842,6352.583,4575.500,24/01,C
194,3644.286,5341.358,3960.500,27/10,A1
195,3531.213,5347.382,3975.500,03/02,M1
196,3179.875,6107.395,4560.500,14/01,C
197,3193.300,6378.461,4590.500,18/05,A
198,4484.262,4762.804,4245.500,01/02,C
199,4602.812,5490.499,4260.500,26/07,A
200,3390.402,6406.287,4590.500,28/01,C
201,4627.772,5733.147,4260.500,24/01,A
202,3324.937,6184.606,4575.500,17/09,C
203,3133.641,4920.525,4035.500,12/05,A
204,4194.930,4697.602,4260.500,04/04,C
205,3989.651,5738.991,3945.500,12/06,M1
206,4103.009,5521.657,3885.500,11/02,M2
207,3270.376,6275.456,4560.500,19/02,B
208,3156.970,4926.416,4035.500,12/07,M4B
209,3235.400,6231.324,4560.500,1807,A
210,3800.508,5677.148,3945.500,06/06,M1
211,3022.074,6257.418,4590.500,10/04,A
212,3171.417,4867.487,4035.500,12/01,M6
213,3600.421,5430.544,3960.500,01/04,A
214,3198.486,6259.425,4560.500,17/09,C
215,3866.522,5429.648,3960.500,11/05,A
216,3609.830,5398.742,3960.500,16/10,M2
217,4482.911,5146.810,4260.500,30/04,M4B
218,3769.850,5603.974,3945.500,01/04,M1
219,3283.845,6136.533,4575.500,17/05,C
220,3261.094,5190.294,4065.500,06/02,C
221,3662.611,5617.656,3945.500,05/01,M1
222,3714.160,5516.330,3945.500,11/01,A
223,3846.718,5658.030,3945.500,06/04,M1
224,3533.978,5182.808,3990.500,01/02,M1
225,4091.307,6306.892,4305.500,01/06,C
226,4663.366,6066.392,4290.500,04/01,C
227,3323.686,4946.451,4020.500,04/02,M2A
228,4454.604,6033.184,4260.500,12/01,A
229,3699.734,5658.576,3945.500,05/03,M1
230,3206.560,5095.069,4050.500,02/02,C
231,3190.299,5002.362,4035.500,12/12,A
232,4551.186,5546.777,4260.500,35/05,M4B
233,3195.027,6325.368,4575.500,22/01,C
234,3763.877,5485.717,3945.500,11/05,M2
235,3264.535,6113.117,4575.500,17/04,B
236,3322.424,5340.315,4080.500,01/01,C
237,4071.492,5474.174,3885.500,11/08,M1
238,3569.859,5250.364,3990.500,01/11,M2
239,3482.735,6473.439,4590.500,25/04,A
240,3209.657,4638.551,4155.500,28/04,A
241,3783.979,5635.942,3945.500,01/06,M1
242,3826.406,5771.716,3945.500,08/07,M1
243,3953.552,5652.826,3945.500,12/02,M4B
244,3100.119,6305.678,4575.500,24/02,A
245,4563.465,5523.751,4260.500,35/02,M4B
246,3435.163,5077.888,4005.500,03/05,M4B
247,4056.897,4571.114,4260.500,31/03,C
248,4017.339,5383.118,3885.500,14/04,A
249,3955.493,5744.150,3945.500,12/01,M4B
250,3405.643,6275.076,4575.500,21/03,C
251,3772.000,5538.582,3945.500,10/08,A
252,4040.196,5393.264,3885.500,14/03,A1
253,3893.810,5645.625,3945.500,10/03,M1
254,3086.396,6204.905,4560.500,16/02,C
255,3070.509,6363.036,4590.500,05/07,C
256,4601.912,5896.143,4260.500,18/03,A
257,3249.885,6171.617,4560.500,17/05,A
258,3762.346,5726.043,3945.500,09/01,M1
259,3146.290,4890.309,4035.500,15/06,A
260,4513.201,5161.204,4260.500,30/06,M4B
261,4507.464,4728.828,4245.500,01/01,C
262,3152.346,4969.686,4035.500,17/02,M2A
263,3190.932,4913.255,4035.500,12/09,M2A
264,4727.971,5161.074,4260.500,15/02,A
265,2993.684,6223.552,4590.500,26/03,M4B
266,3215.467,6159.295,4560.500,14/04,B
267,4210.854,4914.295,4065.500,01/09,A
268,3106.541,6029.741,4560.500,04/03,C
269,3071.891,6306.245,4590.500,10/04,A
270,4759.479,5473.175,4260.500,21/02,B
271,4082.731,6185.066,4275.500,31/01,C
272,4423.301,4711.865,4245.500,01/04,C
273,3143.515,4942.294,4035.500,17/06,M5
274,3593.915,5593.479,3960.500,06/05,A
275,3176.420,4620.594,4155.500,28/03,M4B
276,3334.658,4518.995,4155.500,25/02,A
277,3165.386,4977.672,4035.500,17/04,A
278,3721.089,5700.563,3945.500,05/04,M4B
